filename,run_case,run_num,case_num,Sref,Cref,Bref,Xref,alpha,beta,Mach,V,r_rate,p_rate,q_rate,pb2V,qc2V,rb2V,CL,CD,CDind,CY,Cl,Cm,Cn,e,CLa,CLb,CYa,CYb,Cla,Clb,Cma,Cmb,Cna,Cnb,CLp,CLq,CLr,CYp,CYq,CYr,Clp,Clq,Clr,Cmp,Cmq,Cmr,Cnp,Cnq,Cnr,Xnp,spiral_stab,CLd1,CYd1,Cld1,Cmd1,Cnd1,CDffd1,ed1
run_10_case10_ST.txt,V= 15.0  a=  -9.0  b= 20.0  flap=0.0,10,10,0.3648,0.318,1.2,0.23,-9,20,0,15,NaN,0,NaN,-0,0,-0,-0.16336,0.00204,0.0020384,-0.00366,0.02219,-0.0917,0.0009,0.8397,3.283857,0.155233,-0.008497,-0.008635,-0.271117,0.051912,-0.282685,0.036457,-0.066244,0.05408,0.015074,4.469724,-0.017139,-0.123013,-0.027523,-0.016809,-0.30114,-0.273039,-0.047053,-0.009257,-1.43586,0.012736,0.029102,-0.042036,-0.000509,0.257374,0.05408,0.002209,4.9e-05,-0.000927,-0.001263,7.6e-05,-5.9e-05,-0.006348
run_10_case11_ST.txt,V= 15.0  a=  -6.0  b=  0.0  flap=0.0,10,11,0.3648,0.318,1.2,0.23,-6,0,0,15,NaN,0,NaN,-0,0,-0,0.00388,9e-05,8.84e-05,-2e-05,-0,-0.11493,0,0.0099,3.744239,1e-06,0.000297,-0.012732,5e-06,0.023111,-0.313144,0,-3e-05,0.005098,-2.1e-05,4.787432,-3e-06,-0.054171,0.000203,-0.001679,-0.322477,2e-06,0.002438,0,-1.538582,0,0.008959,-2.1e-05,-0.000326,0.256595,NaN,0.002531,0,0,-0.001461,-0,1.3e-05,0.011924
run_10_case12_ST.txt,V= 15.0  a=  -6.0  b=  5.0  flap=0.0,10,12,0.3648,0.318,1.2,0.23,-6,5,0,15,NaN,0,NaN,-0,0,-0,0.00423,7e-05,7.46e-05,-0.00112,0.00204,-0.11437,0.00023,0.0081,3.715809,0.008019,-0.002049,-0.012536,-0.074707,0.02276,-0.310765,0.01273,-0.01016,0.00502,0.003634,4.769214,-0.004578,-0.053962,-0.006881,-0.001672,-0.32125,-0.070041,0.002428,-0.002186,-1.532727,0.003365,0.008925,-0.007069,-0.000325,0.256595,NaN,0.002511,8e-06,-0.000252,-0.001448,1.9e-05,1.3e-05,0.009952
run_10_case13_ST.txt,V= 15.0  a=  -6.0  b= 10.0  flap=0.0,10,13,0.3648,0.318,1.2,0.23,-6,10,0,15,NaN,0,NaN,-0,0,-0,0.00527,3e-05,3.11e-05,-0.00219,0.00402,-0.11272,0.00046,0.0053,3.631388,0.015793,-0.004327,-0.011959,-0.14715,0.021718,-0.303701,0.025074,-0.019983,0.00479,0.007261,4.714699,-0.009117,-0.053342,-0.013913,-0.001652,-0.317578,-0.139552,0.002401,-0.004355,-1.515208,0.006704,0.008823,-0.014064,-0.000321,0.256595,NaN,0.002452,1.7e-05,-0.000496,-0.001412,3.8e-05,1.3e-05,0.0066
run_10_case14_ST.txt,V= 15.0  a=  -6.0  b= 15.0  flap=0.0,10,14,0.3648,0.318,1.2,0.23,-6,15,0,15,NaN,0,NaN,-0,0,-0,0.00697,-4e-05,-4.07e-05,-0.0032,0.00588,-0.11002,0.00067,0.0033,3.493542,0.023087,-0.00647,-0.011018,-0.215122,0.020015,-0.292167,0.036656,-0.029199,0.004414,0.010833,4.624302,-0.013588,-0.052316,-0.02084,-0.00162,-0.311489,-0.208,0.002355,-0.006491,-1.486156,0.009992,0.008653,-0.020951,-0.000315,0.256595,NaN,0.002356,2.4e-05,-0.000725,-0.001352,5.6e-05,1.4e-05,0.004162
run_10_case15_ST.txt,V= 15.0  a=  -6.0  b= 20.0  flap=0.0,10,15,0.3648,0.318,1.2,0.23,-6,20,0,15,NaN,0,NaN,-0,0,-0,0.00928,-0.00014,-0.0001386,-0.00411,0.00756,-0.10635,0.00085,0.0021,3.306459,0.029679,-0.008412,-0.009743,-0.276557,0.017704,-0.276513,0.047123,-0.037528,0.003904,0.014323,4.498712,-0.017954,-0.050893,-0.027608,-0.001576,-0.303029,-0.274866,0.002291,-0.008578,-1.445794,0.013203,0.008418,-0.027679,-0.000306,0.256594,NaN,0.002225,3.1e-05,-0.000933,-0.001271,7.2e-05,1.5e-05,0.002683
run_10_case16_ST.txt,V= 15.0  a=  -3.0  b=  0.0  flap=0.0,10,16,0.3648,0.318,1.2,0.23,-3,0,0,15,NaN,0,NaN,-0,0,-0,0.19998,0.00342,0.0034155,-1e-05,0,-0.13107,0,0.9526,3.741502,0,0.000161,-0.014127,2e-06,-0.022182,-0.302722,0,-1.5e-05,0.001357,-6e-06,4.80549,-1e-06,0.023852,0.000113,0.006422,-0.322161,1e-06,0.05504,0,-1.544937,-0,-0.012978,-1e-05,-0.001552,0.255729,NaN,0.002532,0,0,-0.001462,-0,9.6e-05,-0.002954
run_10_case17_ST.txt,V= 15.0  a=  -3.0  b=  5.0  flap=0.0,10,17,0.3648,0.318,1.2,0.23,-3,5,0,15,NaN,0,NaN,-0,0,-0,0.19884,0.0034,0.0033958,-0.00123,-0.00192,-0.13039,0.00022,0.9452,3.713074,-0.02603,-0.002122,-0.013912,-0.075361,-0.021845,-0.300423,0.015533,-0.00228,0.001336,0.003431,4.787204,-0.004763,0.023764,-0.006971,0.006397,-0.320935,-0.070315,0.054831,-0.002007,-1.539058,0.003474,-0.012929,-0.003383,-0.001546,0.255729,NaN,0.002512,4e-06,-0.000253,-0.001449,1.8e-05,9.6e-05,-0.002785
run_10_case18_ST.txt,V= 15.0  a=  -3.0  b= 10.0  flap=0.0,10,18,0.3648,0.318,1.2,0.23,-3,10,0,15,NaN,0,NaN,-0,0,-0,0.19546,0.00334,0.0033359,-0.00242,-0.00378,-0.12837,0.00043,0.9234,3.628658,-0.051269,-0.004339,-0.013274,-0.148433,-0.020844,-0.293594,0.030593,-0.004477,0.001275,0.006842,4.732484,-0.009488,0.023495,-0.014002,0.006325,-0.317267,-0.140097,0.054204,-0.003998,-1.521466,0.006922,-0.012781,-0.00673,-0.001528,0.255729,NaN,0.002452,7e-06,-0.000498,-0.001413,3.6e-05,9.4e-05,-0.002297
run_10_case19_ST.txt,V= 15.0  a=  -3.0  b= 15.0  flap=0.0,10,19,0.3648,0.318,1.2,0.23,-3,15,0,15,NaN,0,NaN,-0,0,-0,0.18994,0.00324,0.0032377,-0.00354,-0.00552,-0.12507,0.00063,0.8877,3.490817,-0.07495,-0.006421,-0.012232,-0.216996,-0.01921,-0.282444,0.044725,-0.006538,0.001175,0.0102,4.641747,-0.014142,0.023048,-0.020927,0.006204,-0.311184,-0.208812,0.053165,-0.005959,-1.492294,0.010317,-0.012537,-0.010026,-0.001499,0.25573,NaN,0.002356,1e-05,-0.000728,-0.001353,5.2e-05,9.2e-05,-0.001543
